6,10,50,10,50,18,6,18
84,10,144,10,144,18,84,18
172,10,216,10,216,18,172,18
323,7,525,7,525,23,323,23
528,10,602,10,602,18,528,18
35,21,105,21,105,33,35,33
123,21,237,21,237,33,123,33
313,19,605,19,605,35,313,35
5,35,75,35,75,47,5,47
78,36,106,36,106,44,78,44
113,35,269,35,269,47,113,47
272,36,294,36,294,44,272,44
313,35,349,35,349,47,313,47
352,36,388,36,388,44,352,44
392,36,438,36,438,44,392,44
441,35,469,35,469,49,441,49
479,33,525,33,525,47,479,47
531,33,603,33,603,47,531,47
6,48,42,48,42,56,6,56
45,47,195,47,195,61,45,61
201,47,277,47,277,59,201,59
312,45,427,45,427,60,312,60
428,50,470,50,470,56,428,56
475,47,565,47,565,59,475,59
17,61,103,61,103,75,17,75
107,61,155,61,155,73,107,73
158,62,188,62,188,70,158,70
196,62,224,62,224,70,196,70
250,62,292,62,292,70,250,70
313,59,605,59,605,73,313,73
46,74,100,74,100,82,46,82
184,71,239,71,239,87,184,87
243,73,269,73,269,85,243,85
324,71,495,71,495,87,324,87
4,83,231,83,231,101,4,101
234,88,268,88,268,96,234,96
271,85,297,85,297,99,271,99
324,86,373,86,373,99,324,99
394,88,420,88,420,96,394,96
446,88,480,88,480,96,446,96
497,87,539,87,539,99,497,99
551,87,603,87,603,101,551,101
6,100,42,100,42,108,6,108
44,97,113,97,113,112,44,112
117,97,199,97,199,111,117,111
202,100,236,100,236,108,202,108
240,100,272,100,272,108,240,108
273,99,297,99,297,113,273,113
375,99,573,99,573,115,375,115
577,101,605,101,605,113,577,113
5,109,293,109,293,123,5,123
312,112,363,112,363,126,312,126
366,114,418,114,418,122,366,122
440,114,462,114,462,122,440,122
464,111,505,111,505,125,464,125
510,116,538,116,538,122,510,122
542,114,564,114,564,122,542,122
568,116,600,116,600,122,568,122
5,123,59,123,59,135,5,135
61,125,293,125,293,137,61,137
314,128,352,128,352,136,314,136
355,124,531,124,531,142,355,142
543,127,581,127,581,139,543,139
6,138,46,138,46,146,6,146
59,137,121,137,121,149,59,149
123,137,163,137,163,149,123,149
173,137,209,137,209,149,173,149
210,136,295,136,295,150,210,150
313,137,603,137,603,153,313,153
5,149,65,149,65,163,5,163
97,151,261,151,261,165,97,165
275,151,297,151,297,163,275,163
313,151,603,151,603,165,313,165
4,162,53,162,53,175,4,175
56,164,110,164,110,172,56,172
112,161,267,161,267,175,112,175
313,165,345,165,345,177,313,177
357,165,603,165,603,179,357,179
17,175,245,175,245,191,17,191
263,175,297,175,297,189,263,189
313,177,497,177,497,191,313,191
499,177,601,177,601,189,499,189
5,189,133,189,133,201,5,201
135,189,297,189,297,201,135,201
313,190,575,190,575,205,313,205
5,201,167,201,167,215,5,215
193,201,215,201,215,215,193,215
233,201,297,201,297,215,233,215
325,205,483,205,483,217,325,217
497,205,573,205,573,217,497,217
5,215,139,215,139,227,5,227
165,215,233,215,233,227,165,227
271,215,297,215,297,227,271,227
313,216,549,216,549,231,313,231
558,220,602,220,602,226,558,226
6,230,62,230,62,238,6,238
77,227,127,227,127,239,77,239
143,227,177,227,177,242,143,242
225,227,295,227,295,239,225,239
313,229,405,229,405,242,313,242
416,232,448,232,448,240,416,240
449,229,521,229,521,242,449,242
3,22,33,19,34,31,5,34
581,46,602,49,601,59,579,56
105,71,135,74,133,86,104,83
147,74,181,71,182,83,149,87
263,162,292,165,291,174,262,171
576,192,601,189,602,199,577,202
