24,2,50,2,50,8,24,8
82,2,158,2,158,10,82,10
162,2,248,2,248,10,162,10
336,2,438,2,438,10,336,10
439,1,499,1,499,15,439,15
20,14,48,14,48,20,20,20
52,14,162,14,162,20,52,20
186,14,216,14,216,22,186,22
220,14,248,14,248,22,220,22
278,14,498,14,498,22,278,22
246,50,268,50,268,56,246,56
32,80,94,80,94,86,32,86
106,80,136,80,136,86,106,86
140,80,238,80,238,86,140,86
284,78,310,78,310,86,284,86
318,78,378,78,378,86,318,86
382,78,418,78,418,86,382,86
424,80,462,80,462,86,424,86
28,180,60,180,60,186,28,186
72,180,150,180,150,188,72,188
156,180,248,180,248,188,156,188
310,178,394,178,394,186,310,186
418,176,455,176,455,189,418,189
481,177,507,177,507,191,481,191
39,189,135,189,135,201,39,201
283,189,505,189,505,201,283,201
28,202,102,202,102,210,28,210
118,202,146,202,146,210,118,210
150,202,248,202,248,210,150,210
284,202,314,202,314,208,284,208
320,202,380,202,380,208,320,208
384,202,418,202,418,208,384,208
419,199,449,199,449,211,419,211
460,202,490,202,490,208,460,208
27,211,101,211,101,223,27,223
110,209,187,209,187,223,110,223
186,214,222,214,222,220,186,220
284,212,320,212,320,220,284,220
379,211,505,211,505,223,379,223
28,224,66,224,66,232,28,232
84,224,184,224,184,232,84,232
283,221,341,221,341,233,283,233
28,234,52,234,52,242,28,242
56,234,136,234,136,242,56,242
136,231,215,231,215,245,136,245
326,236,356,236,356,244,326,244
400,236,424,236,424,244,400,244
428,232,487,232,487,246,428,246
68,246,110,246,110,254,68,254
123,245,249,245,249,257,123,257
285,245,341,245,341,257,285,257
377,245,505,245,505,257,377,257
27,255,121,255,121,267,27,267
284,258,444,258,444,266,284,266
458,258,504,258,504,266,458,266
28,268,54,268,54,276,28,276
58,268,86,268,86,276,58,276
96,270,126,270,126,276,96,276
130,270,170,270,170,278,130,278
208,270,248,270,248,276,208,276
284,270,422,270,422,278,284,278
436,270,482,270,482,276,436,276
481,269,507,269,507,281,481,281
28,280,70,280,70,288,28,288
307,279,375,279,375,291,307,291
77,289,213,289,213,303,77,303
286,292,310,292,310,300,286,300
314,292,342,292,342,300,314,300
348,292,374,292,374,300,348,300
378,292,410,292,410,300,378,300
416,292,450,292,450,300,416,300
453,291,507,291,507,303,453,303
28,302,72,302,72,310,28,310
78,302,100,302,100,310,78,310
104,302,232,302,232,310,104,310
286,302,342,302,342,310,286,310
350,304,434,304,434,312,350,312
450,304,490,304,490,312,450,312
27,311,221,311,221,323,27,323
284,314,354,314,354,322,284,322
362,316,410,316,410,322,362,322
414,314,448,314,448,322,414,322
470,316,504,316,504,322,470,322
28,324,60,324,60,332,28,332
69,323,127,323,127,335,69,335
135,323,191,323,191,335,135,335
194,324,248,324,248,332,194,332
285,323,371,323,371,335,285,335
70,336,110,336,110,344,70,344
117,333,201,333,201,345,117,345
204,336,232,336,232,342,204,342
310,336,348,336,348,344,310,344
395,334,507,334,507,350,395,350
27,345,85,345,85,357,27,357
325,347,391,347,391,359,325,359
409,347,505,347,505,359,409,359
27,357,117,357,117,369,27,369
128,358,162,358,162,366,128,366
184,358,212,358,212,366,184,366
218,358,248,358,248,366,218,366
326,360,438,360,438,368,326,368
448,360,470,360,470,366,448,366
27,367,247,367,247,379,27,379
283,369,397,369,397,381,283,381
28,380,86,380,86,388,28,388
100,380,248,380,248,388,100,388
263,380,385,380,385,394,263,394
434,382,504,382,504,390,434,390
28,392,64,392,64,400,28,400
68,389,249,389,249,401,68,401
283,393,413,393,413,405,283,405
416,394,468,394,468,402,416,402
28,404,50,404,50,410,28,410
70,402,112,402,112,410,70,410
284,406,318,406,318,414,284,414
326,406,422,406,422,412,326,412
436,406,504,406,504,414,436,414
7,411,49,411,49,425,7,425
58,414,80,414,80,422,58,422
84,414,128,414,128,420,84,420
128,410,171,410,171,424,128,424
170,414,202,414,202,420,170,420
203,413,249,413,249,425,203,425
284,416,312,416,312,424,284,424
322,416,360,416,360,424,322,424
363,415,429,415,429,427,363,427
28,424,168,424,168,432,28,432
197,423,235,423,235,435,197,435
286,428,314,428,314,436,286,436
319,427,357,427,357,439,319,439
361,427,455,427,455,439,361,439
458,428,504,428,504,436,458,436
28,436,74,436,74,444,28,444
128,436,168,436,168,444,128,444
184,434,223,434,223,446,184,446
283,436,477,436,477,449,283,449
480,438,502,438,502,446,480,446
28,448,118,448,118,454,28,454
121,445,213,445,213,457,121,457
297,449,457,449,457,461,297,461
470,450,504,450,504,458,470,458
7,457,41,457,41,469,7,469
50,458,94,458,94,466,50,466
98,458,248,458,248,466,98,466
284,462,502,462,502,470,284,470
26,466,69,466,69,480,26,480
72,470,170,470,170,478,72,478
174,470,210,470,210,478,174,478
218,470,246,470,246,476,218,476
331,471,471,471,471,483,331,483
28,480,94,480,94,488,28,488
106,480,224,480,224,488,106,488
286,484,316,484,316,492,286,492
324,484,362,484,362,492,324,492
433,483,507,483,507,495,433,495
28,492,96,492,96,498,28,498
100,492,172,492,172,500,100,500
176,492,248,492,248,500,176,500
284,496,350,496,350,504,284,504
354,496,388,496,388,504,354,504
52,502,96,502,96,510,52,510
110,502,234,502,234,510,110,510
300,508,328,508,328,516,300,516
332,508,388,508,388,516,332,516
391,507,505,507,505,519,391,519
28,514,162,514,162,522,28,522
176,514,234,514,234,520,176,520
284,518,324,518,324,526,284,526
328,518,392,518,392,526,328,526
426,518,476,518,476,526,426,526
28,526,114,526,114,532,28,532
128,526,164,526,164,532,128,532
168,526,196,526,196,532,168,532
216,526,248,526,248,532,216,532
302,530,356,530,356,538,302,538
364,530,404,530,404,538,364,538
408,530,436,530,436,538,408,538
451,529,473,529,473,541,451,541
476,530,504,530,504,538,476,538
28,536,112,536,112,544,28,544
316,542,462,542,462,550,316,550
461,539,485,539,485,551,461,551
7,545,59,545,59,557,7,557
62,546,96,546,96,554,62,554
150,546,180,546,180,554,150,554
220,546,248,546,248,554,220,554
265,551,381,551,381,563,265,563
396,554,444,554,444,560,396,560
448,554,470,554,470,562,448,562
28,558,70,558,70,566,28,566
74,558,96,558,96,566,74,566
100,558,144,558,144,566,100,566
149,557,251,557,251,569,149,569
28,570,106,570,106,578,28,578
117,567,221,567,221,579,117,579
226,570,248,570,248,576,226,576
284,564,328,564,328,572,284,572
352,564,412,564,412,572,352,572
445,563,505,563,505,575,445,575
27,579,153,579,153,591,27,591
146,592,194,592,194,598,146,598
285,585,335,585,335,597,285,597
350,588,392,588,392,596,350,596
398,588,504,588,504,596,398,596
7,589,83,589,83,603,7,603
96,592,126,592,126,600,96,600
207,591,235,591,235,603,207,603
27,600,249,600,249,613,27,613
318,600,358,600,358,606,318,606
372,600,504,600,504,608,372,608
283,607,365,607,365,619,283,619
378,610,410,610,410,616,378,616
413,609,448,609,448,618,413,618
466,608,505,608,505,620,466,620
28,614,102,614,102,622,28,622
132,614,248,614,248,622,132,622
27,623,117,623,117,635,27,635
284,622,318,622,318,628,284,628
317,619,343,619,343,631,317,631
36,636,160,636,160,644,36,644
166,636,248,636,248,644,166,644
263,631,349,631,349,643,263,643
364,632,394,632,394,640,364,640
458,634,502,634,502,640,458,640
28,648,84,648,84,656,28,656
284,644,470,644,470,652,284,652
474,644,504,644,504,652,474,652
7,657,53,657,53,669,7,669
56,658,140,658,140,666,56,666
144,658,186,658,186,666,144,666
193,657,249,657,249,669,193,669
286,656,350,656,350,664,286,664
362,653,483,653,483,665,362,665
28,670,82,670,82,678,28,678
86,670,142,670,142,678,86,678
146,670,172,670,172,678,146,678
176,670,232,670,232,678,176,678
265,665,413,665,413,679,265,679
426,668,450,668,450,674,426,674
464,668,502,668,502,676,464,676
28,682,74,682,74,690,28,690
82,680,210,680,210,688,82,688
222,682,248,682,248,688,222,688
284,678,368,678,368,686,284,686
374,678,466,678,466,686,374,686
474,680,502,680,502,686,474,686
90,692,114,692,114,700,90,700
118,692,190,692,190,700,118,700
200,692,244,692,244,700,200,700
284,690,340,690,340,696,284,696
353,689,416,689,416,698,353,698
458,687,505,687,505,699,458,699
27,701,99,701,99,713,27,713
283,699,359,699,359,711,283,711
30,714,54,714,54,722,30,722
58,714,88,714,88,722,58,722
104,714,150,714,150,722,104,722
190,714,218,714,218,722,190,722
222,714,248,714,248,722,222,722
263,711,337,711,337,723,263,723
348,712,460,712,460,720,348,720
50,726,116,726,116,734,50,734
156,726,248,726,248,734,156,734
284,724,426,724,426,732,284,732
82,738,136,738,136,744,82,744
137,735,161,735,161,747,137,747
284,736,354,736,354,744,284,744
358,736,398,736,398,744,358,744
402,736,438,736,438,744,402,744
442,736,504,736,504,744,442,744
7,747,67,747,67,759,7,759
86,748,142,748,142,756,86,756
161,747,215,747,215,759,161,759
218,748,248,748,248,756,218,756
286,746,342,746,342,754,286,754
346,746,376,746,376,754,346,754
380,746,412,746,412,754,380,754
425,745,505,745,505,757,425,757
28,760,112,760,112,766,28,766
116,758,146,758,146,766,116,766
158,760,196,760,196,766,158,766
200,760,248,760,248,766,200,766
284,758,372,758,372,766,284,766
376,758,408,758,408,766,376,766
412,758,504,758,504,766,412,766
28,770,62,770,62,778,28,778
65,767,211,767,211,779,65,779
284,770,346,770,346,776,284,776
362,767,409,767,409,779,362,779
412,770,504,770,504,778,412,778
83,779,127,779,127,791,83,791
130,780,158,780,158,788,130,788
186,782,234,782,234,788,186,788
296,780,386,780,386,788,296,788
392,780,420,780,420,788,392,788
438,780,504,780,504,788,438,788
28,792,186,792,186,800,28,800
202,792,248,792,248,800,202,800
283,789,357,789,357,801,283,801
28,804,146,804,146,812,28,812
158,804,248,804,248,810,158,810
265,801,321,801,321,813,265,813
318,800,427,800,427,816,318,816
429,801,505,801,505,813,429,813
27,813,205,813,205,825,27,825
284,814,308,814,308,822,284,822
312,814,446,814,446,822,312,822
444,811,493,811,493,828,444,828
303,0,336,3,335,15,302,12
285,176,312,179,311,191,283,187
397,176,418,179,417,189,396,186
285,232,305,235,303,245,283,242
285,334,310,337,309,346,284,343
349,334,376,337,375,346,348,343
472,361,503,358,504,366,473,369
385,379,414,382,413,394,384,391
226,435,248,437,247,444,225,441
477,516,504,518,503,528,476,525
